path,id,parent_id,level,object_id,object_type,object_key,query_status,query_time,query_type,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.likeCount,snippet.totalReplyCount
Uc0V20xmccI,8304,None,0,Uc0V20xmccI,seed,,,None,None,,,
Uc0V20xmccI/UgyzCGHdFP3IbaXt_l94AaABAg,11437,8304,1,UgyzCGHdFP3IbaXt_l94AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,I don't want to say that this is the unfair match of Liverpool I have ever seen but the fact is fact 9 vs 11 + ref and Var Staffs.,0,0
Uc0V20xmccI/Ugx1g4Ha7iD0MKioVBR4AaABAg,11438,8304,1,Ugx1g4Ha7iD0MKioVBR4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,"Even though we end up on the losing side, the only way to make us lose this season is by making it 12 men against Liverpool. We are the warriors, we will never give up, head-up Matip and co as the journey is long and we must end the season first.",0,0
Uc0V20xmccI/UgwNBinUPN_yu5Omqgx4AaABAg,11439,8304,1,UgwNBinUPN_yu5Omqgx4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,spurs cheater,0,0
Uc0V20xmccI/UgzhgEdUTtiFeKUD8gZ4AaABAg,11440,8304,1,UgzhgEdUTtiFeKUD8gZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Udogie diver,0,0
Uc0V20xmccI/UgyapMtBThP2Mk7U4qJ4AaABAg,11441,8304,1,UgyapMtBThP2Mk7U4qJ4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,I feel like the biggest difference between the sack I bought from kislux   and the authentic sack I bought before is in the price,0,0
Uc0V20xmccI/UgxVwYvmO7WfUP_vfSZ4AaABAg,11442,8304,1,UgxVwYvmO7WfUP_vfSZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Thanks to VAR and officials Liverpool got ripped off..,0,0
Uc0V20xmccI/UgxnkXSHl_Dacw2grYN4AaABAg,11443,8304,1,UgxnkXSHl_Dacw2grYN4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,The opinion of the referee is always applied in world football but fan- referee like this one does not understand it well and try to harass best footballers and the FA should be evaluate their administration.,0,0
Uc0V20xmccI/Ugy3bz--R9TdS4GYptx4AaABAg,11444,8304,1,Ugy3bz--R9TdS4GYptx4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,just why was Jota booked for the first foul. Is the ref an idiot?,0,0
Uc0V20xmccI/Ugz_-CeOUlIJT-6kcjR4AaABAg,11445,8304,1,Ugz_-CeOUlIJT-6kcjR4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Madison is short pass or long pass he know where to kick..he is awesome ❤,0,0
Uc0V20xmccI/UgxS1gQSKxzNqbM31Ll4AaABAg,11446,8304,1,UgxS1gQSKxzNqbM31Ll4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Sonny is the BEAST❤❤❤❤❤❤,0,0
Uc0V20xmccI/Ugwd5xMETY5jH_B9Eb54AaABAg,11447,8304,1,Ugwd5xMETY5jH_B9Eb54AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,ㅋㅋ😊,0,0
Uc0V20xmccI/Ugwk0hqHPCAtyhBLlKp4AaABAg,11448,8304,1,Ugwk0hqHPCAtyhBLlKp4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Respect from alisson to matip❤,0,0
Uc0V20xmccI/Ugxwk5idy0exvU4eNON4AaABAg,11449,8304,1,Ugxwk5idy0exvU4eNON4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,9v12,0,0
Uc0V20xmccI/Ugx3BnW9gSq1j_5QQEF4AaABAg,11450,8304,1,Ugx3BnW9gSq1j_5QQEF4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Spurs is nice team good players I like them but this big celebration for an own goal... for barely beating a 9 men team... pretty pathetic,0,0
Uc0V20xmccI/UgyB05poVp0VKmxZej54AaABAg,11451,8304,1,UgyB05poVp0VKmxZej54AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,"After watching this back a couple of times I think the cards were rightfully earned and there was obvious contact, the only mistake I saw from the refs was the disallowed goal in the first half don't know why people are complaining so much tbh.",1,0
Uc0V20xmccI/Ugxticq2bHibR9GwWN54AaABAg,11452,8304,1,Ugxticq2bHibR9GwWN54AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Bravo Liverpool! They became very lazy,0,0
Uc0V20xmccI/Ugw2Q0IAilqyT3K0bbN4AaABAg,11453,8304,1,Ugw2Q0IAilqyT3K0bbN4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,I think luis diaz goal should be count and sob goal should not be count  because his feet and body,1,0
Uc0V20xmccI/UgyP6LHCSn1mS_waz1d4AaABAg,11454,8304,1,UgyP6LHCSn1mS_waz1d4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Почему гол ливера не засчитали? Судья иблан?,0,0
Uc0V20xmccI/UgzKzyatuyco94e3C9l4AaABAg,11455,8304,1,UgzKzyatuyco94e3C9l4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Fully robbed.,0,0
Uc0V20xmccI/UgwGCET8tPqudlNxZAZ4AaABAg,11456,8304,1,UgwGCET8tPqudlNxZAZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Arisnar,0,0
Uc0V20xmccI/UgyJZ9FhQan7Xd3Chil4AaABAg,11457,8304,1,UgyJZ9FhQan7Xd3Chil4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,What a goal by Matip tho🤣🤣🤣🤣🤣,0,0
Uc0V20xmccI/Ugz539q7MJFQIrLGF8Z4AaABAg,11458,8304,1,Ugz539q7MJFQIrLGF8Z4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,LETS GO SPURS!,1,0
Uc0V20xmccI/Ugzq64OiawugmOjZuMZ4AaABAg,11459,8304,1,Ugzq64OiawugmOjZuMZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,မာစီးတီးတကျော့ပြန်တက်ရအုံးမယ်,0,0
Uc0V20xmccI/UgzPejYF-mu9aX45_1h4AaABAg,11460,8304,1,UgzPejYF-mu9aX45_1h4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,kasih langsung ke ayam sayur pialanya kasihan sampai dibantu wasit..,0,0
Uc0V20xmccI/UgzVC1rs2fgCZqJKfaZ4AaABAg,11461,8304,1,UgzVC1rs2fgCZqJKfaZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Adorei o video,0,0
Uc0V20xmccI/UgyBRt4AdG-WVKWu7mN4AaABAg,11462,8304,1,UgyBRt4AdG-WVKWu7mN4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Muito bom adorei,0,0
Uc0V20xmccI/UgzXQKJ5JuVILxtgEKl4AaABAg,11463,8304,1,UgzXQKJ5JuVILxtgEKl4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,4:28 omg that pass. Chef's kiss. Perfection.,0,0
Uc0V20xmccI/UgylkW05azR8hphiiFp4AaABAg,11464,8304,1,UgylkW05azR8hphiiFp4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,The mistek come from the refary,0,0
Uc0V20xmccI/UgzNmS4zANd9F3eGKHh4AaABAg,11465,8304,1,UgzNmS4zANd9F3eGKHh4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Always difficult 9 against 12,0,0
Uc0V20xmccI/Ugyeb53ftpg6BRucmN94AaABAg,11466,8304,1,Ugyeb53ftpg6BRucmN94AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Amei o vídeo ❤,1,0
Uc0V20xmccI/UgyTAVLhe1yLYr9juTp4AaABAg,11467,8304,1,UgyTAVLhe1yLYr9juTp4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Adorei o vídeo,0,0
Uc0V20xmccI/UgxnDPsWPHS78Hi3u6J4AaABAg,11468,8304,1,UgxnDPsWPHS78Hi3u6J4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Adorei o vídeo,0,0
Uc0V20xmccI/Ugz4AHDDK3kaMYlU5Jh4AaABAg,11469,8304,1,Ugz4AHDDK3kaMYlU5Jh4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,adorei o vídeo,0,0
Uc0V20xmccI/UgxKvxv9aD673nbez4Z4AaABAg,11470,8304,1,UgxKvxv9aD673nbez4Z4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,❤,1,0
Uc0V20xmccI/UgwjqQJvZfKZwibhBiN4AaABAg,11471,8304,1,UgwjqQJvZfKZwibhBiN4AaABAg,data,items.*,fetched (200),2023-10-16 14:39:38.043083,YouTube:/commentThreads,Sensacional,0,0
