Platform,Game,Entry
Facebook,Tottenham vs. Liverpool September 30,"I'd be completely embarrassed to celebrate such a win. Disallowed goal, 2 red cards. No wonder you will always remain a tiny insignificant joke of a club."
Facebook,Tottenham vs. Liverpool September 30,"We got lucky, 9 men side and needed an own goal to win. COYS!"
Facebook,Tottenham vs. Liverpool September 30,#COYS
Facebook,Tottenham vs. Liverpool September 30,🤍🤍🤍
Facebook,Tottenham vs. Liverpool September 30,Trust the process
Facebook,Tottenham vs. Liverpool September 30,Important 3 points. We were very lucky tonight. Sometimes it goes your way and that happened today. 💪
Facebook,Tottenham vs. Liverpool September 30,Spurs for life ❤️
Facebook,Tottenham vs. Liverpool September 30,LETSGOOOOOOOOOOO
Facebook,Tottenham vs. Liverpool September 30,yippppeeeee a nice 3 points !!!
Facebook,Tottenham vs. Liverpool September 30,فخر لندن   😭😭😭🤍🤍🤍🤍🤍🤍🤍
Facebook,Tottenham vs. Liverpool September 30,اموت عليكم
Facebook,Tottenham vs. Liverpool September 30,I don't care what people say...win is a win 🤣
Facebook,Tottenham vs. Liverpool September 30,Spurds can't score against 10 men 😂😂
Facebook,Tottenham vs. Liverpool September 30,"SOME PLAYERS NEED OTHERS TO BECOME GREAT. LEO MESSI JUST NEEDS A BALL.⚽🔥  Everyone who agrees with me puts a heart and follows us, thank you 💜"
Facebook,Tottenham vs. Liverpool September 30,🤍🤍
Facebook,Tottenham vs. Liverpool September 30,Ange ball ⚽️ 🔥
Facebook,Tottenham vs. Liverpool September 30,Congratulations Lovely! Stuff 👏
Facebook,Tottenham vs. Liverpool September 30,Nice job spur love from Nigeria 😊🥰
Facebook,Tottenham vs. Liverpool September 30,Playing Richarlison was an error and it was an error to take Son out and keep him in. This was and is Solomon’s game. Either ways it was a good play. The boys never give up. COYS!!
Facebook,Tottenham vs. Liverpool September 30,If Messi🇦🇷🐐😍 hadn't been born it would have been thought that muscles are above intelligence… thank you Messi for coming to earth
Facebook,Tottenham vs. Liverpool September 30,"Honestly, win with lucky"
Facebook,Tottenham vs. Liverpool September 30,Thanks to Matip
Facebook,Tottenham vs. Liverpool September 30,So Kane Was The Problem!
Facebook,Tottenham vs. Liverpool September 30,Ange is a blessed Coach with some luck in football even against all odds. Fair play to Liverpool.  Mehnnnn what a game. COYS.
Facebook,Tottenham vs. Liverpool September 30,Come on Spurs 🤍💪
Facebook,Tottenham vs. Liverpool September 30,I went to the kitchen wearing Tottenham jersey and I couldn't lift a cup
Facebook,Tottenham vs. Liverpool September 30,Pavlos Pavloulol
Facebook,Tottenham vs. Liverpool September 30,I'm crying 😥😢❤️
Facebook,Tottenham vs. Liverpool September 30,Gotta love football 💖🤍
Facebook,Tottenham vs. Liverpool September 30,Yes
Facebook,Tottenham vs. Liverpool September 30,"What a match, what a relief 🌸"
Facebook,Tottenham vs. Liverpool September 30,❤❤
Facebook,Tottenham vs. Liverpool September 30,Le robaron sin remordimiento al Liverpool
Facebook,Tottenham vs. Liverpool September 30,Congrats Spurs for life
Facebook,Tottenham vs. Liverpool September 30,Lucky Spurs
Facebook,Tottenham vs. Liverpool September 30,Unbelievable result and thank you Matip!!!!! #coys
